FIPS_Code,Employed_2020,Median_Household_Income_2020,Unemployment_rate_2020,"Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",BIRTHS_2020,DEATHS_2020,DOMESTIC_MIG_2020,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,NATURAL_CHG_2020,NET_MIG_2020,Anxiety_Score_2020,Depression_Score_2020,State_Name,Region
42101,648448,56385,12.2,22.9453731,29.81186792,12.60348091,34.63927807,4897,5480,-3242,46724,272,-583,-2970,2.595845457,2.654740888,Pennsylvania,Northeast
42107,61142,63680,9,25.81908217,45.05575709,10.00460644,19.12055431,325,509,54,6994,0,-184,54,2.543722433,2.598650071,Pennsylvania,Northeast
42111,30203,50516,9.2,23.45991408,49.31005607,9.945022937,17.28500692,158,242,-48,4735,0,-84,-48,2.514530936,2.586121342,Pennsylvania,Northeast
42119,18346,65521,6.6,18.932172,41.3277553,13.3152733,26.4247994,103,115,-27,7339,-1,-12,-28,2.554861513,2.63974244,Pennsylvania,Northeast
42121,20536,52449,8.7,25.50663871,46.37424071,8.466376391,19.65274418,102,143,-59,874,0,-41,-59,2.626633955,2.692754427,Pennsylvania,Northeast
42125,97382,70751,9.1,26.02712694,35.23213135,5.955560233,32.78518148,491,640,164,4876,0,-149,164,2.568765249,2.621229937,Pennsylvania,Northeast
42129,163499,71152,8.9,28.33373212,35.21710894,4.605375597,31.84378335,700,1140,35,6227,0,-440,35,2.539007652,2.610844132,Pennsylvania,Northeast
42133,218784,79938,7.8,26.14794374,38.01088269,8.630413797,27.21075977,1089,1151,167,8096,10,-62,177,2.577343573,2.657616017,Pennsylvania,Northeast
44001,24268,101158,7.4,20.87266802,20.89514498,6.478984041,51.75320297,95,139,24,3389,0,-44,24,2.543052653,2.602182406,Rhode Island,Northeast
44003,85412,84230,8.6,30.30222194,28.18855134,7.212685162,34.29654155,365,552,201,2062,0,-187,201,2.525130345,2.592167684,Rhode Island,Northeast
44005,41180,92795,8,22.63804547,19.65196378,4.661927851,53.04806289,163,188,-112,3787,3,-25,-109,2.566573486,2.645194046,Rhode Island,Northeast
44007,303203,74190,10,25.38875592,28.69299028,13.71724185,32.20101195,1738,2144,-621,29064,73,-406,-548,2.576248471,2.636751773,Rhode Island,Northeast
44009,64217,99015,7.6,24.57142232,20.20304791,4.744713206,50.48081657,185,366,78,7440,1,-181,79,2.572833171,2.655801399,Rhode Island,Northeast
45003,70326,67728,4.8,29.02711717,29.74673666,10.17325086,31.05289532,427,516,449,2704,5,-89,454,2.589284795,2.625039955,South Carolina,South
45007,83660,62708,5.7,30.9347581,30.47119539,12.17937496,26.41467155,499,629,595,3190,5,-130,600,2.5740172,2.625128064,South Carolina,South
45013,71015,83687,5.3,28.04115232,21.37482234,5.807787485,44.77623785,471,465,765,8292,22,6,787,2.575158524,2.620476033,South Carolina,South
45015,98848,79259,5.4,31.97444744,28.64848985,9.435318532,29.94174417,675,425,1515,4326,32,250,1547,2.586553856,2.636138635,South Carolina,South
45019,194389,79969,6.1,25.30120079,18.56641135,7.097702111,49.03468575,1186,907,1157,9109,37,279,1194,2.579680494,2.632627215,South Carolina,South
45021,22894,50403,7.8,30.18931711,36.91423519,14.49264056,18.40380715,142,179,13,1201,2,-37,15,2.53154514,2.514309164,South Carolina,South
45025,20120,44574,5.9,27.6357566,41.13776963,18.02559654,13.20087722,107,159,22,752,0,-52,22,2.614867656,3.034477244,South Carolina,South
45029,15331,47933,5.9,28.7502778,40.14741833,14.43440255,16.66790133,118,176,-21,416,1,-58,-20,2.765995914,2.663693993,South Carolina,South
45031,28052,50427,6.3,30.20331604,36.61541312,13.48184513,19.69942571,172,249,-1,1022,1,-77,0,2.617007899,2.62942868,South Carolina,South
45035,71796,74730,5.6,35.19399003,26.10202273,8.73649054,29.96749671,454,323,571,2015,13,131,584,2.590598293,2.650253927,South Carolina,South
